GuestID,BookingDate,PromoCode,Region,AllInclusive,Room,PackageType,Age,VIP,RoomService,Dining,Retail,Spa,Entertainment,LoyaltyPoints,SurveyScore,DaysSinceEmail,BookingChannel,AgeGroup,ReferralSource,Churned
980992,2024-12-28,PromoB,Americas,1,G/1438/S,Wellness,24.0,0,,0.0,0.0,0.0,0.0,6463,5,138,Phone,Young,TV,1
431294,2024-06-16,,Europe,1,,Relaxation,22.0,0,0.0,0.0,0.0,0.0,0.0,685,5,345,Corporate,Young,Friend,1
797853,2024-06-18,,Americas,0,F/1444/S,Wellness,19.0,0,10.0,24.0,0.0,0.0,565.0,7226,4,99,Corporate,Young,TripAdvisor,0
270911,2024-05-18,PromoA,Europe,0,C/187/S,Relaxation,20.0,0,0.0,3.0,0.0,1271.0,2630.0,1979,2,262,Phone,Young,TikTok,1
841122,2024-06-16,,AsiaPacific,1,E/311/S,,43.0,0,0.0,0.0,0.0,0.0,0.0,3506,3,305,TravelAgent,Middle,TripAdvisor,1
345243,2023-02-25,,Americas,0,G/1334/P,Relaxation,18.0,0,22.0,0.0,681.0,0.0,1.0,3357,1,98,Corporate,Minor,Facebook,1
498988,2024-12-17,,,0,G/430/P,Relaxation,24.0,0,0.0,0.0,17.0,0.0,793.0,9884,5,112,TravelAgent,Young,Google,0
390853,2024-12-07,,Americas,0,F/917/S,Relaxation,19.0,0,0.0,0.0,699.0,18.0,86.0,4054,3,286,Phone,Young,Friend,1
956795,2024-06-11,,Americas,1,G/1086/S,Relaxation,24.0,0,0.0,0.0,,0.0,0.0,9228,3,11,TravelAgent,Young,TV,1
298373,2024-05-18,,Americas,0,F/156/S,Relaxation,19.0,0,0.0,561.0,10.0,0.0,161.0,5230,2,198,Phone,Young,Google,1
191070,2024-07-07,PromoB,Europe,1,C/147/S,Relaxation,34.0,0,0.0,0.0,0.0,,0.0,9222,2,174,Phone,Middle,Google,1
359178,2024-06-08,PromoB,AsiaPacific,0,F/819/P,Relaxation,22.0,0,886.0,55.0,0.0,0.0,258445.02160174988,4169,3,285,Corporate,Young,Yelp,0
749654,2023-12-22,,Europe,0,C/22/S,Relaxation,36.0,1,530.0,5085.0,1.0,146.0,872.0,5120,2,56,Corporate,Middle,TripAdvisor,1
861716,2024-12-10,,Americas,0,E/508/S,Relaxation,24.0,0,9.0,769.0,9.0,0.0,0.0,8059,5,300,Website,Young,Instagram,0
688858,2024-05-21,PromoB,Europe,0,A/32/S,Relaxation,36.0,0,2.0,1297.0,0.0,4.0,0.0,3388,4,282,Mobile,Middle,TikTok,1
419330,2024-02-18,PromoB,Americas,0,F/282/P,Relaxation,24.0,0,711.0,0.0,0.0,59.0,57.0,7974,2,167,TravelAgent,Young,Instagram,0
232166,2023-08-26,,AsiaPacific,1,D/107/S,Adventure,17.0,0,0.0,0.0,0.0,0.0,0.0,6577,5,37,Mobile,Minor,TikTok,1
284654,2024-04-08,PromoA,AsiaPacific,1,E/281/P,Relaxation,26.0,0,0.0,0.0,0.0,0.0,0.0,7835,3,81,TravelAgent,Young,TV,0
321268,2024-12-10,,Americas,1,G/1177/S,Relaxation,34.0,0,0.0,0.0,0.0,0.0,0.0,3704,4,218,Website,Middle,Facebook,1
215430,2023-08-25,PromoB,Americas,1,G/92/S,Relaxation,58.0,0,0.0,0.0,0.0,0.0,0.0,7037,5,130,TravelAgent,Senior,Friend,0
861937,2024-04-27,PromoA,AsiaPacific,0,F/911/S,Relaxation,29.0,1,20.0,,1902.0,343837.9818004385,3.0,4673,3,302,Mobile,Young,Yelp,1
794919,2024-02-10,,Europe,1,E/590/P,Adventure,33.0,0,0.0,0.0,0.0,0.0,0.0,6219,3,139,Corporate,Middle,Instagram,1
240305,2024-10-10,,Americas,0,E/579/S,Adventure,19.0,0,0.0,0.0,717.0,1.0,0.0,337,4,96,Corporate,Young,Instagram,1
945188,2024-01-19,PromoA,Americas,0,G/755/S,Adventure,14.0,0,0.0,524195.1211533569,603.0,1.0,0.0,1403,2,219,TravelAgent,Minor,Instagram,1
541811,2024-06-10,PromoB,Americas,1,G/641/S,Relaxation,33.0,0,0.0,0.0,0.0,0.0,0.0,4983,3,57,TravelAgent,Middle,Google,1
515798,2024-02-08,PromoA,AsiaPacific,1,D/124/P,Relaxation,16.0,0,,0.0,0.0,0.0,0.0,7275,1,166,Corporate,Minor,Instagram,1
420919,2024-12-12,,Americas,0,F/1214/P,Relaxation,17.0,0,18.0,10.0,73.0,0.0,1049.0,5337,1,230,Mobile,Minor,TripAdvisor,0
122446,2024-08-24,,AsiaPacific,0,D/172/P,Relaxation,14.0,0,246.0,0.0,376267.54206263926,0.0,0.0,2164,1,70,Phone,Minor,Twitter,1
192433,2023-09-24,PromoA,AsiaPacific,1,D/124/P,Relaxation,42.0,0,0.0,0.0,0.0,0.0,0.0,1140,1,68,TravelAgent,Middle,Yelp,1
493732,2024-12-18,PromoA,Americas,0,F/261/P,Relaxation,20.0,0,213.0,0.0,,0.0,584.0,322,3,122,Corporate,Young,Instagram,0
745035,2024-07-20,PromoA,AsiaPacific,0,F/1635/S,Adventure,35.0,0,319.0,0.0,6331.0,8.0,0.0,8791,4,229,Corporate,Middle,Magazine,1
392916,2024-02-10,PromoB,Americas,1,G/452/P,Relaxation,0.0,0,0.0,0.0,0.0,0.0,0.0,5604,4,59,Corporate,,Facebook,1
736419,2023-11-20,PromoA,Americas,1,G/532/S,Adventure,47.0,0,0.0,0.0,0.0,0.0,0.0,4954,2,332,Corporate,Senior,Facebook,0
663345,2023-02-04,,Americas,0,F/1090/S,Relaxation,16.0,0,213954.38661007417,458.0,725.0,0.0,0.0,9839,2,282,Mobile,Minor,Yelp,1
635775,2024-01-20,,Europe,1,,Relaxation,,0,0.0,0.0,0.0,0.0,0.0,1195,2,275,Corporate,,Google,1
213322,2024-10-13,,Europe,0,C/143/P,Wellness,55.0,1,0.0,102.0,0.0,278.0,5353.0,5135,2,265,Mobile,Senior,Facebook,0
768594,2023-03-16,PromoA,Americas,0,F/1742/S,Relaxation,,0,604.0,,255327.76616160118,147.0,2.0,9723,5,288,Phone,Young,Google,0
240905,2024-06-19,,AsiaPacific,0,F/1131/P,Relaxation,20.0,0,489.0,126.0,663.0,214.0,0.0,6137,1,289,TravelAgent,Young,Email,0
443275,2024-07-06,PromoA,Americas,0,G/790/P,Relaxation,52.0,0,0.0,837.0,1.0,2.0,8.0,4906,2,274,Phone,Senior,TV,0
149923,2023-07-23,PromoA,AsiaPacific,0,E/575/P,Relaxation,14.0,0,1737.0,0.0,336.0,0.0,0.0,518,4,156,Phone,Minor,Friend,0
255439,2024-06-05,,Americas,1,G/1064/S,Adventure,18.0,0,0.0,0.0,0.0,0.0,,6051,3,87,Phone,Minor,TV,1
900740,2024-03-23,PromoA,Americas,1,G/1341/P,Relaxation,7.0,0,0.0,0.0,0.0,0.0,0.0,3066,3,312,TravelAgent,Minor,Pinterest,0
280538,2024-07-12,,Europe,1,,Relaxation,26.0,0,0.0,0.0,0.0,0.0,209884.11677944858,2837,2,64,Phone,Young,Radio,1
318587,2024-12-18,,AsiaPacific,1,F/643/S,Relaxation,39.0,0,0.0,0.0,0.0,0.0,,6487,1,179,Website,Middle,TV,1
447709,2024-07-06,,Americas,1,G/390/S,Wellness,18.0,0,0.0,0.0,0.0,0.0,0.0,2927,2,270,TravelAgent,Minor,Google,1
526663,2024-06-21,PromoB,Americas,0,F/1173/S,Relaxation,33.0,0,457.0,0.0,0.0,0.0,445.0,3505,3,351,Phone,Middle,Friend,0
681834,2024-08-18,,Europe,0,C/195/S,Adventure,39.0,0,10.0,199.0,0.0,6216.0,101.0,3674,3,153,TravelAgent,Middle,Facebook,0
353025,2024-02-21,,Americas,1,G/71/P,Wellness,32.0,0,0.0,0.0,0.0,0.0,0.0,7616,5,40,TravelAgent,Middle,Facebook,1
825676,2024-09-23,,AsiaPacific,0,F/585/P,Relaxation,24.0,0,165.0,0.0,981.0,2.0,0.0,7164,3,228,Corporate,Young,Radio,1
178609,2024-08-16,PromoB,Europe,1,B/167/S,Adventure,28.0,0,0.0,0.0,0.0,0.0,0.0,531,1,305,Mobile,Young,Facebook,1
954335,2023-06-22,PromoA,Americas,1,G/1231/S,Wellness,67.0,0,0.0,0.0,0.0,0.0,0.0,6711,1,145,Mobile,Elderly,Billboard,1
157294,2023-01-06,,Americas,1,G/1000/P,Relaxation,21.0,0,0.0,0.0,0.0,0.0,0.0,81,2,114,Mobile,Young,Podcast,1
369427,2024-02-06,,,1,B/340/S,Adventure,44.0,0,0.0,0.0,0.0,0.0,0.0,5195,5,196,TravelAgent,Middle,Google,1
486869,2024-05-22,PromoB,Europe,0,B/188/P,Relaxation,49.0,0,0.0,3991.0,298.0,289.0,2740.0,1064,1,322,TravelAgent,Senior,Google,0
243771,2023-08-26,PromoB,Americas,1,G/1239/S,,27.0,0,0.0,0.0,0.0,0.0,0.0,7247,3,279,Mobile,Young,Billboard,1
881564,2023-12-04,PromoB,Europe,0,C/68/P,Adventure,26.0,0,,741.0,13.0,0.0,4724.0,9832,1,121,Corporate,Young,Email,0
138557,2024-05-21,PromoB,Europe,0,A/5/P,Relaxation,30.0,0,0.0,3004.0,0.0,1018.0,0.0,3052,4,29,Website,Young,Yelp,0
415738,2023-01-11,PromoB,AsiaPacific,0,F/964/P,Wellness,56.0,0,,0.0,1356.0,0.0,171.0,9596,1,317,Corporate,Senior,TripAdvisor,0
646555,2023-02-14,,Europe,1,,Adventure,25.0,0,0.0,0.0,0.0,0.0,0.0,8188,3,104,Phone,Young,Facebook,1
582352,2023-02-08,,Americas,0,G/954/S,Relaxation,19.0,0,0.0,0.0,0.0,888.0,0.0,6681,2,134,Phone,Young,Facebook,0
393844,2023-08-28,PromoB,AsiaPacific,1,F/372/P,Relaxation,64.0,0,0.0,0.0,0.0,0.0,0.0,9414,5,60,Phone,Elderly,Podcast,1
808617,2023-07-24,PromoB,Americas,1,G/981/S,Relaxation,,0,0.0,0.0,0.0,0.0,0.0,1425,3,248,TravelAgent,,TripAdvisor,1
255304,2024-01-20,PromoA,Americas,0,F/613/S,Adventure,53.0,0,8.0,0.0,236.0,0.0,2049.0,3512,2,151,TravelAgent,Senior,Google,0
155444,2024-01-21,PromoB,Americas,0,F/328/S,Relaxation,24.0,0,0.0,201.0,0.0,0.0,603.0,5046,4,139,TravelAgent,Young,Yelp,0
590310,2023-02-12,PromoB,AsiaPacific,0,E/252/S,Relaxation,38.0,1,,0.0,1355.0,0.0,0.0,67,4,165,Phone,Middle,TripAdvisor,0
395626,2023-07-13,PromoA,AsiaPacific,0,F/1231/S,Relaxation,36.0,0,636.0,0.0,168.0,1795.0,0.0,2333,1,284,Phone,Middle,Facebook,0
548351,2024-10-10,PromoA,Americas,0,F/278/P,Relaxation,21.0,0,737.0,4.0,27.0,8.0,0.0,6286,4,279,Website,Young,Friend,0
429341,2023-12-28,,Europe,1,B/99/S,Relaxation,63.0,0,0.0,0.0,0.0,0.0,0.0,5703,4,303,Website,Elderly,Google,1
509462,2024-01-01,PromoA,Americas,0,F/1154/P,Adventure,18.0,0,749.0,0.0,74.0,0.0,0.0,4720,1,340,Mobile,Minor,TripAdvisor,0
402698,2023-08-10,,AsiaPacific,0,E/542/P,Relaxation,35.0,0,0.0,0.0,0.0,0.0,0.0,9290,5,247,Mobile,Middle,Yelp,0
331590,2024-01-16,,AsiaPacific,0,D/206/S,Relaxation,27.0,0,20.0,0.0,1000.0,36.0,0.0,6897,3,242,TravelAgent,Young,Google,1
988773,2024-01-06,PromoB,Americas,1,G/1489/P,Relaxation,34.0,0,0.0,,0.0,0.0,0.0,581,1,234,Mobile,Middle,Pinterest,0
644143,2024-02-08,,,1,,Relaxation,11.0,0,,,0.0,0.0,0.0,2351,4,21,Phone,Minor,Friend,1
592127,2024-11-23,,Americas,0,G/775/S,Relaxation,,0,282.0,8.0,337.0,0.0,0.0,1224,1,298,Mobile,,Email,0
784743,2024-07-23,PromoB,Europe,0,B/57/S,Relaxation,22.0,0,0.0,1531.0,0.0,369.0,2969.0,4836,5,179,Website,Young,Instagram,0
745690,2024-01-19,,Europe,0,C/205/S,Adventure,36.0,1,13.0,196.0,3.0,0.0,12323.0,8628,4,175,TravelAgent,Middle,Google,0
955566,2024-08-02,PromoB,AsiaPacific,0,F/1653/S,Relaxation,54.0,0,1763.0,0.0,11.0,0.0,0.0,3937,1,181,Website,Senior,Facebook,0
207479,2023-06-18,PromoB,Americas,1,G/1389/S,Adventure,13.0,0,0.0,0.0,0.0,0.0,0.0,8304,1,209,Phone,Minor,Email,1
270576,2023-02-11,PromoB,Americas,0,G/407/S,Relaxation,18.0,0,852.0,48.0,0.0,7.0,0.0,5233,3,279,Mobile,Minor,Friend,0
610128,2023-08-07,PromoA,Europe,0,B/46/S,Relaxation,53.0,0,0.0,143.0,1632.0,3.0,756.0,1341,2,22,Website,Senior,Facebook,1
702233,2024-06-08,,Americas,0,G/81/S,Wellness,,0,0.0,0.0,0.0,0.0,0.0,3159,1,193,Website,Minor,Google,1
772321,2024-01-09,,Europe,0,B/51/S,Adventure,50.0,1,0.0,5473.0,0.0,703.0,6381.0,9870,5,6,Mobile,Senior,TripAdvisor,0
607668,2023-02-11,,Europe,0,C/308/P,Relaxation,31.0,0,0.0,4634.0,8.0,616.0,0.0,7921,5,245,Mobile,Middle,Facebook,1
351934,2024-02-15,,AsiaPacific,1,,Relaxation,10.0,0,0.0,0.0,0.0,0.0,0.0,1511,2,108,Mobile,Minor,Facebook,1
522511,2024-06-22,,Americas,0,E/308/S,Relaxation,22.0,0,0.0,669.0,121.0,0.0,56.0,2524,4,26,Mobile,Young,Facebook,1
396492,2023-08-12,,Europe,0,A/1/S,Relaxation,2.0,0,0.0,0.0,0.0,0.0,0.0,9580,5,204,TravelAgent,Minor,Radio,1
339535,2023-12-15,,Europe,1,B/100/S,Adventure,,0,0.0,0.0,0.0,0.0,0.0,9244,5,131,Corporate,Middle,Facebook,1
651556,2024-03-24,PromoA,Americas,0,F/243/S,Relaxation,19.0,0,0.0,0.0,619.0,0.0,142.0,8186,5,335,Mobile,Young,Instagram,0
999900,2024-01-25,PromoB,,0,F/1411/S,Relaxation,26.0,0,0.0,0.0,902.0,0.0,0.0,2998,3,322,Corporate,Young,Yelp,0
864870,2023-07-03,PromoA,,1,E/450/S,Relaxation,36.0,0,,0.0,0.0,0.0,0.0,5622,3,303,Corporate,Middle,TikTok,1
835541,2023-06-24,,Europe,1,B/10/S,Adventure,38.0,0,0.0,0.0,0.0,0.0,0.0,4594,3,123,Website,Middle,Billboard,1
686706,2024-01-13,PromoB,Europe,1,C/227/P,Relaxation,29.0,0,0.0,0.0,0.0,0.0,0.0,4318,1,208,Phone,Young,Friend,1
147608,2023-04-26,PromoA,Europe,0,C/57/P,Adventure,27.0,0,0.0,4342.0,0.0,,36.0,8975,2,114,Corporate,Young,Instagram,1
295554,2024-07-25,,Americas,0,G/826/S,Relaxation,23.0,0,0.0,381.0,142.0,0.0,261.0,4903,1,105,TravelAgent,Young,Instagram,0
412398,2023-12-23,PromoB,Americas,0,F/1719/S,Adventure,34.0,0,0.0,0.0,717.0,0.0,0.0,4592,3,4,Phone,Middle,YouTube,1
679996,2024-02-18,PromoA,Americas,1,G/1308/S,Relaxation,0.0,0,0.0,0.0,0.0,0.0,0.0,4757,5,178,Phone,,Google,0
476758,2024-07-11,PromoA,Europe,1,B/35/P,Adventure,33.0,0,0.0,0.0,0.0,0.0,,529,1,303,Corporate,Middle,Google,1
195027,2024-07-16,,Europe,1,B/106/P,Relaxation,23.0,0,0.0,0.0,0.0,0.0,0.0,9300,5,153,TravelAgent,Young,Radio,1
290603,2024-02-21,,Europe,1,B/227/S,Adventure,19.0,0,0.0,0.0,0.0,0.0,0.0,3639,3,331,TravelAgent,Young,Google,1
613385,2024-02-24,PromoB,AsiaPacific,1,F/1716/P,Relaxation,21.0,0,0.0,0.0,0.0,0.0,0.0,6099,4,300,TravelAgent,Young,Google,1
222623,2024-02-17,,Europe,1,E/426/P,Relaxation,25.0,0,0.0,0.0,0.0,0.0,0.0,9170,3,309,Website,Young,Google,1
630004,2023-01-21,,AsiaPacific,1,F/1091/P,Relaxation,38.0,0,0.0,0.0,0.0,,0.0,2296,5,257,Corporate,Middle,Google,1
673501,2024-08-10,PromoA,Americas,1,G/542/P,Relaxation,,0,0.0,0.0,0.0,0.0,0.0,2678,3,82,Phone,Middle,TV,1
725292,2023-11-03,,Americas,1,G/1215/P,Relaxation,41.0,0,0.0,0.0,0.0,0.0,0.0,5708,4,239,TravelAgent,Middle,TikTok,1
545734,2024-04-05,PromoA,Americas,0,E/272/P,Relaxation,,0,0.0,3.0,486.0,0.0,228.0,3956,3,134,TravelAgent,Young,Facebook,1
552973,2024-08-19,,AsiaPacific,0,E/198/P,Relaxation,56.0,0,324.0,,116.0,0.0,0.0,4629,4,0,Website,Senior,TripAdvisor,0
233451,2023-01-16,PromoB,Americas,1,G/531/S,Relaxation,24.0,0,0.0,0.0,0.0,0.0,0.0,8740,3,138,Phone,Young,Billboard,1
237622,2024-02-26,PromoA,AsiaPacific,0,F/262/S,Relaxation,39.0,0,1535.0,0.0,340.0,0.0,723.0,6394,4,186,Mobile,Middle,Google,0
367764,2024-03-27,PromoB,Americas,1,G/872/S,Wellness,20.0,0,0.0,0.0,0.0,0.0,0.0,9167,5,151,TravelAgent,Young,Google,1
476478,2023-12-14,PromoB,AsiaPacific,0,F/1695/S,Relaxation,25.0,0,520.0,0.0,139.0,0.0,77.0,9937,5,116,Corporate,Young,Twitter,0
933578,2024-02-24,,AsiaPacific,1,F/1466/P,Adventure,2.0,0,0.0,0.0,0.0,0.0,0.0,9805,1,340,TravelAgent,Minor,TV,1
808948,2024-12-02,PromoA,Americas,0,F/749/P,Relaxation,20.0,0,2.0,0.0,7.0,2.0,547.0,2572,2,313,Corporate,Young,TV,0
930484,2024-12-12,PromoA,Americas,1,G/249/S,Relaxation,39.0,0,0.0,0.0,0.0,0.0,0.0,974,5,224,Corporate,Middle,Email,1
549136,2024-06-02,PromoB,AsiaPacific,0,D/79/P,Relaxation,16.0,0,,0.0,1994.0,0.0,677.0,9303,1,275,Website,Minor,Magazine,0
958810,2024-01-04,,Americas,0,G/805/P,,12.0,0,0.0,0.0,0.0,0.0,0.0,6898,4,13,Phone,Minor,TV,0
201412,2024-06-29,,Europe,0,C/19/P,Relaxation,37.0,0,0.0,6506.0,0.0,764.0,431226.3678884862,5782,1,16,TravelAgent,Middle,Google,1
839873,2024-01-19,PromoA,AsiaPacific,0,F/49/S,Adventure,21.0,0,1664.0,0.0,,0.0,0.0,545,5,98,Website,Young,Instagram,0
795955,2024-10-16,,AsiaPacific,0,D/53/P,Wellness,37.0,0,295.0,1575.0,19.0,515.0,0.0,3579,4,202,Corporate,Middle,Google,0
200660,2024-06-12,PromoB,Americas,1,G/186/P,Wellness,22.0,0,0.0,0.0,0.0,0.0,0.0,1157,5,24,Corporate,Young,Facebook,1
210573,2023-08-25,,Europe,0,D/59/S,Relaxation,38.0,0,158.0,787.0,2820.0,,86.0,55,2,110,Phone,Middle,Podcast,1
317824,2024-02-02,,AsiaPacific,0,E/430/S,Relaxation,18.0,0,0.0,0.0,0.0,0.0,0.0,1019,1,351,Corporate,Minor,TripAdvisor,0
492900,2024-05-09,,AsiaPacific,1,F/35/S,Relaxation,13.0,0,0.0,0.0,0.0,0.0,0.0,8372,2,178,Website,Minor,Google,1
519249,2024-08-03,,Europe,1,C/102/S,Relaxation,,0,,0.0,0.0,0.0,0.0,514,2,218,TravelAgent,Senior,Yelp,1
974839,2023-05-16,,Americas,0,F/1724/P,Relaxation,20.0,0,781.0,0.0,33.0,,0.0,849,2,296,Mobile,Young,Google,1
557520,2023-02-03,PromoA,Americas,0,G/841/P,Wellness,48.0,0,0.0,2.0,72.0,554.0,143.0,9180,3,270,TravelAgent,Senior,Friend,0
327562,2024-04-02,PromoB,AsiaPacific,1,F/1512/P,Relaxation,10.0,,0.0,0.0,0.0,0.0,0.0,7805,4,266,Corporate,Minor,Yelp,1
704690,2023-12-24,,AsiaPacific,1,D/107/S,Relaxation,37.0,0,0.0,0.0,0.0,0.0,0.0,2613,2,132,Website,Middle,Facebook,1
756861,2024-11-01,,Americas,1,G/109/P,Wellness,2.0,0,0.0,587112.1455846473,0.0,0.0,0.0,1529,4,4,Website,Minor,Facebook,0
682664,2024-07-15,,AsiaPacific,0,F/793/P,Relaxation,31.0,0,1049.0,31.0,227.0,2.0,0.0,6649,3,126,Phone,Middle,Friend,0
197497,2023-01-09,PromoA,AsiaPacific,1,D/101/S,Adventure,60.0,0,0.0,0.0,0.0,0.0,0.0,2065,2,13,Phone,Senior,Instagram,1
794060,2024-01-14,,Americas,0,G/310/S,Relaxation,22.0,0,0.0,0.0,0.0,10.0,761.0,9262,3,154,Phone,Young,Friend,0
895941,2023-08-17,PromoB,Americas,0,G/1397/S,Relaxation,8.0,0,0.0,0.0,0.0,0.0,0.0,2063,4,101,Mobile,Minor,TripAdvisor,0
953209,2024-12-11,PromoA,Europe,0,B/201/P,Adventure,43.0,0,0.0,,0.0,274.0,2056.0,7229,1,214,Phone,Middle,TV,0
632572,2023-06-25,PromoB,AsiaPacific,1,F/1482/P,Wellness,,0,0.0,0.0,0.0,0.0,0.0,6861,3,240,Website,Young,Instagram,1
516801,2024-10-10,,AsiaPacific,1,D/93/S,Adventure,25.0,0,0.0,0.0,0.0,0.0,0.0,3609,3,166,Phone,Young,TV,1
818385,2024-12-21,PromoB,Europe,0,A/37/P,Relaxation,39.0,0,0.0,266.0,0.0,1254.0,197.0,853,1,144,Phone,Middle,Email,0
229108,2024-09-23,,AsiaPacific,1,F/259/P,Adventure,,0,0.0,0.0,0.0,,0.0,964,1,216,Mobile,Minor,Instagram,1
651209,2024-12-13,,Europe,1,B/19/S,Adventure,54.0,0,0.0,0.0,0.0,0.0,0.0,7744,2,182,Phone,Senior,TripAdvisor,1
303904,2024-07-04,PromoB,Americas,0,G/63/P,Relaxation,31.0,0,198.0,0.0,591.0,0.0,164.0,1475,3,199,TravelAgent,Middle,Google,1
314245,2024-07-14,PromoA,Americas,0,G/943/S,Relaxation,3.0,0,0.0,,0.0,0.0,0.0,2544,5,352,Mobile,Minor,Facebook,1
346090,2024-06-26,,Europe,1,C/271/S,Wellness,35.0,0,0.0,0.0,0.0,0.0,0.0,9772,4,16,Phone,Middle,TripAdvisor,1
664539,2023-04-11,,AsiaPacific,0,D/99/S,Relaxation,35.0,0,741.0,0.0,31.0,0.0,36.0,9800,4,307,Website,Middle,TripAdvisor,0
